State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,615358465,185344,238271,507657980,152905,466487600,180627,243527564,73.3,220716765,85.5,205811394,62,188075067,72.8,365385325,220499640,29473500,0,17613846,193650993,295858234,534907,73344705,115995495,16326663,144531,73259481,98379504,16296426,139656,N/A,73.3,N/A,85.5,58.2,175574813,68,243527564,55856546,95,47992505,87.6,22887202,22732234,2313828,59241,131617023,240212,1123080,236721306,83.5,201577599,71.1,73339485,111772151,16322173,143790,496572579,175145,217042,243486660,78,205801409,65.9,73341565,115991641,16323714,144489,507609211,162557,197063,68810709,33.4,68344126,36.3,47215323,48.2,27920100,58.2,30652784,37101650,1041184,15091,33794993,26755996,3490460,N/A,34610054,28520466,966973,14949,31505611,2257640,25292,6450,1929689,24794710,25923,5674,1133533,1440461,915553,913,41221,27655,205,1912,93.2,6.7,0.1,0,7.2,92.7,0.1,0,32.5,41.3,26.2,0,58.1,39,0.3,2.7
Alaska,1320615,180524,239432,1024695,140073,933186,169190,475688,65,424960,77,412110,56.3,373404,67.7,735435,502080,83100,0,40999,398663,584181,852,150638,224445,36925,102,150240,186291,36777,96,N/A,65,N/A,77,51.9,341128,61.8,475688,85382,93.2,77150,84.2,42472,31151,3487,40,206426,225385,1441910,458592,75.3,402459,66.1,150633,214805,36919,102,997905,163893,216894,475625,69.9,412096,60.6,150635,224439,36920,102,1024619,150576,194075,142456,34.6,141188,37.8,91535,52.5,49289,63.9,65435,75180,1823,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,8051430,164208,211053,5624234,114706,5306187,139092,2868764,58.5,2683451,70.3,2335344,47.6,2205642,57.8,4412990,3255140,383300,0,163533,2468286,2992037,378,982426,1197489,154855,574,981948,1068355,154767,572,N/A,58.5,N/A,70.3,45.1,2082183,54.6,2868764,788000,92.7,676582,79.6,359259,280937,36010,376,1743198,205121,947409,2831928,67.6,2320137,55.4,982412,1182306,154845,574,5571324,133066,192301,2868413,62.2,2335283,50.7,982422,1197440,154847,574,5623834,122023,174696,632174,27.1,629689,28.5,503036,38.5,329476,48.7,307306,313644,11179,45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,4990280,165361,215316,3800076,125922,3505093,151235,1892791,62.7,1723670,74.4,1545513,51.2,1420694,61.3,2818820,1923960,247500,0,116698,1635148,2044550,3680,638087,797998,108353,1075,636956,675115,107820,803,N/A,62.7,N/A,74.4,48.3,1333748,57.5,1892791,485068,92.6,410225,78.3,230208,164083,15482,452,1106333,211180,952558,1848459,72.3,1521929,59.5,638074,774787,108229,839,3732323,145951,195143,1891314,66.8,1545341,54.6,638076,797955,108236,1074,3798536,134255,176376,467224,30.2,465170,32.7,351081,44.3,227129,55.4,229694,229536,7593,401,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,83310,175789,265869,75819,159983,59172,188837,40254,84.9,29878,95,32705,69,26536,84.7,62010,20700,600,0,550,19714,55554,1,8756,23390,559,0,8739,17239,558,0,N/A,84.9,N/A,95,67.9,26004,83,40254,2971,90.6,2711,82.7,1139,1547,25,0,6331,193136,2541490,36196,95,32072,86.9,8755,22758,559,0,71070,192513,225668,40251,93.4,32705,75.9,8756,23390,559,0,75816,175866,193250,3406,10.4,3395,12.8,1930,19.9,747,27.6,1045,2361,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,12612060,173273,223678,10491351,144137,9626394,170727,4898570,67.3,4411806,78.2,4149298,57,3799341,67.4,7355960,4668600,587500,0,343152,4182964,5944380,20855,1565436,2262520,315536,5806,1564758,1913780,315088,5715,N/A,67.3,N/A,78.2,53.4,3539962,62.8,4898570,1251644,95,1093691,83.6,533000,508290,49259,3142,3084490,235703,963758,4761048,76.7,4082760,65.8,1565396,2196280,315291,5793,10282255,165681,203222,4897843,71.5,4149008,60.6,1565418,2262483,315301,5806,10490480,153170,184146,1245470,30,1237285,32.6,891845,43.5,561782,51.4,550241,678372,16336,521,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,299250,N/A,N/A,278537,N/A,278535,N/A,135495,N/A,135493,N/A,128198,N/A,128197,N/A,155610,127540,16100,0,14092,120084,144329,32,49755,65024,13419,0,49755,65024,13418,0,N/A,N/A,N/A,N/A,0,116537,0,135495,3758,0,3588,0,1717,1676,195,0,8854,0,0,135493,0,128197,0,49755,65024,13418,0,278535,0,0,135493,0,128197,0,49755,65024,13418,0,278535,0,0,27606,21.5,27606,21.5,9670,34,1685,47,15854,11093,637,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,76264765,193016,249088,65589033,165997,59564278,194543,32668832,82.7,29276686,95,26105670,66.1,23533360,76.9,45916025,26812640,3536100,0,2195308,24865270,38512467,15988,9183040,14875927,2042074,4629,9156929,12337939,2034224,4268,N/A,82.7,N/A,95,62.3,22036193,72,32668832,6490780,95,5061872,86.7,2552810,2306039,201623,1400,14365691,246067,1306330,31684441,94.2,25501742,75.8,9182231,14273415,2041523,4573,63996549,190204,226666,32663942,88,26104469,70.3,9182693,14875444,2041703,4629,65583277,176639,205408,8505080,32.6,8444377,35.9,5275930,47.8,2903051,57.4,3846782,4514098,143785,415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,10855185,188499,241268,9517277,165267,8679329,192908,4293859,74.6,3841251,85.4,3813580,66.2,3441207,76.5,6444865,3932420,477900,0,323350,3735014,5451142,7771,1384537,2128309,298585,2149,1380763,1761013,297357,2074,N/A,74.6,N/A,85.4,62.7,3239979,72,4293859,823417,95,751171,89.2,358178,365629,26608,756,2123654,252092,1288580,4135248,83.8,3703793,75,1384490,2018607,298555,2141,9247167,187339,219916,4293545,79.1,3813519,70.3,1384524,2128284,298562,2149,9516924,175378,200039,1553333,40.7,1542910,44.8,951577,59.8,528681,70.4,721460,811177,20485,211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,7423855,208226,261602,6638228,186191,6051440,213241,3159344,88.6,2838402,95,2659830,74.6,2406250,84.8,4331995,2760260,331600,0,236159,2529835,3871029,1205,916820,1519644,222927,439,916320,1266855,222743,332,N/A,88.6,N/A,95,70,2243814,79.1,3159344,714966,95,596117,94.6,234534,339337,22147,99,1702258,270095,1177930,3060196,95,2597642,83.6,916518,1457842,222846,436,6475430,208485,239021,3158044,93.3,2659389,78.6,916612,1519491,222848,438,6636511,196139,219408,1009004,37.9,1002024,41.6,703845,54.9,393396,66,482775,513890,12322,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
District of Columbia,1601505,226923,277278,1286502,182289,1217140,210731,624472,88.5,577373,95,476822,67.6,446227,77.3,970385,562920,68200,0,34335,470562,781106,499,166975,272007,37494,346,166903,241541,37459,324,N/A,88.5,N/A,95,63.6,418010,72.4,624472,95249,95,77533,88.8,41349,33346,2757,81,236583,270867,1833580,605662,95,466800,76.6,166968,262012,37478,342,1263316,207185,262648,624386,94.5,476801,72.2,166970,271994,37491,346,1286376,194793,242512,128214,26.9,127377,28.5,65294,37.9,37073,47.8,54843,72405,949,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6261850,N/A,N/A,6883746,N/A,6493806,N/A,3837275,N/A,3618666,N/A,2871719,N/A,2709558,N/A,4026070,2026280,209500,0,307293,2304734,4249990,21729,898619,1699192,273703,205,898421,1537440,273492,205,N/A,N/A,N/A,N/A,0,2436830,0,3837275,327731,0,171889,0,59370,103449,9070,0,541583,0,0,3804718,0,2855584,0,898594,1683110,273675,205,6834971,0,0,3837119,0,2871655,0,898600,1699167,273683,205,6883538,0,0,1151,0,1147,0,136,0,30,0,372,769,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,1975605,202883,256508,1582493,162513,1462825,189930,746478,76.7,683526,88.7,624808,64.2,575641,74.7,1134305,751800,89500,0,58272,614508,907883,1830,223451,346312,54466,579,223319,297344,54406,572,N/A,76.7,N/A,88.7,60.1,535933,69.6,746478,203998,95,175332,92.8,72300,92935,9785,312,489369,259054,1045810,728367,86.7,613817,73.1,223438,335345,54455,579,1552540,184869,235245,746335,81.2,624779,68,223440,346298,54462,579,1582324,172170,214963,214266,34.3,213154,37,164822,49,104330,59.5,94449,116242,3564,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,40667685,189348,235785,33644593,156649,31533975,182829,16001140,74.5,14842093,86.1,13607439,63.4,12713270,73.7,24168205,14225680,2273800,0,1395008,12568091,19561940,119554,4703853,7567525,1301184,34877,4701922,6677288,1299531,34529,N/A,74.5,N/A,86.1,58.5,11663811,67.6,16001140,4642757,95,3997709,88.9,1924598,1842595,210334,20182,11189228,248797,904261,15731042,84.1,13448769,71.9,4703095,7410482,1300353,34839,33203883,177599,217520,15993295,78.6,13605792,66.9,4703139,7567388,1300389,34876,33635813,165384,199959,4263127,31.3,4242383,33.4,3311727,44.6,2139509,53.5,1894853,2286920,77416,3938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,108760,106294,163000,84093,82186,81369,121949,48766,47.7,47130,70.6,43132,42.2,42070,63.1,16120,80440,12200,0,12735,68509,2841,8,29986,1240,11901,5,29981,206,11878,5,N/A,47.7,N/A,70.6,31.8,31510,47.2,48766,3675,76.4,3416,71,2329,14,1073,0,6455,134144,2260180,48492,61.3,43123,54.5,29985,1240,11893,5,83769,105846,137424,48761,52.5,43128,46.5,29986,1240,11897,5,84088,90592,117172,3696,8.6,3693,8.8,1407,11.2,398,11.7,3361,13,322,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
