USTotalNewCasesByDate,Dates
1,2020-01-22
0,2020-01-23
1,2020-01-24
0,2020-01-25
3,2020-01-26
0,2020-01-27
0,2020-01-28
1,2020-01-29
0,2020-01-30
2,2020-01-31
0,2020-02-01
0,2020-02-02
3,2020-02-03
0,2020-02-04
0,2020-02-05
1,2020-02-06
0,2020-02-07
0,2020-02-08
0,2020-02-09
0,2020-02-10
1,2020-02-11
0,2020-02-12
1,2020-02-13
0,2020-02-14
0,2020-02-15
0,2020-02-16
1,2020-02-17
1,2020-02-18
0,2020-02-19
0,2020-02-20
0,2020-02-21
0,2020-02-22
0,2020-02-23
1,2020-02-24
1,2020-02-25
1,2020-02-26
0,2020-02-27
0,2020-02-28
7,2020-02-29
13,2020-03-01
18,2020-03-02
22,2020-03-03
34,2020-03-04
71,2020-03-05
63,2020-03-06
170,2020-03-07
121,2020-03-08
92,2020-03-09
167,2020-03-10
361,2020-03-11
452,2020-03-12
626,2020-03-13
730,2020-03-14
388,2020-03-15
1433,2020-03-16
1783,2020-03-17
2706,2020-03-18
4507,2020-03-19
6401,2020-03-20
5992,2020-03-21
8888,2020-03-22
11156,2020-03-23
10618,2020-03-24
12127,2020-03-25
17821,2020-03-26
18591,2020-03-27
22164,2020-03-28
20165,2020-03-29
22154,2020-03-30
26381,2020-03-31
32232,2020-04-01
32230,2020-04-02
32482,2020-04-03
32176,2020-04-04
29604,2020-04-05
31858,2020-04-06
30343,2020-04-07
31149,2020-04-08
36443,2020-04-09
34347,2020-04-10
29318,2020-04-11
26872,2020-04-12
26924,2020-04-13
28521,2020-04-14
25900,2020-04-15
29956,2020-04-16
33157,2020-04-17
27994,2020-04-18
25923,2020-04-19
29680,2020-04-20
26184,2020-04-21
29511,2020-04-22
32812,2020-04-23
32152,2020-04-24
31800,2020-04-25
26547,2020-04-26
23818,2020-04-27
24690,2020-04-28
26220,2020-04-29
29242,2020-04-30
35021,2020-05-01
27830,2020-05-02
24492,2020-05-03
23713,2020-05-04
24331,2020-05-05
24271,2020-05-06
27657,2020-05-07
27273,2020-05-08
24446,2020-05-09
19250,2020-05-10
19036,2020-05-11
22843,2020-05-12
20576,2020-05-13
26534,2020-05-14
24821,2020-05-15
24233,2020-05-16
18884,2020-05-17
22134,2020-05-18
20761,2020-05-19
22725,2020-05-20
25806,2020-05-21
23629,2020-05-22
20979,2020-05-23
20591,2020-05-24
18653,2020-05-25
18646,2020-05-26
19437,2020-05-27
21646,2020-05-28
24735,2020-05-29
24084,2020-05-30
19458,2020-05-31
16965,2020-06-01
21283,2020-06-02
19771,2020-06-03
21723,2020-06-04
25001,2020-06-05
21300,2020-06-06
18413,2020-06-07
16504,2020-06-08
18092,2020-06-09
21068,2020-06-10
22383,2020-06-11
25326,2020-06-12
24972,2020-06-13
19420,2020-06-14
18522,2020-06-15
23839,2020-06-16
27391,2020-06-17
28315,2020-06-18
31935,2020-06-19
32613,2020-06-20
26189,2020-06-21
30973,2020-06-22
37226,2020-06-23
36232,2020-06-24
40369,2020-06-25
46210,2020-06-26
41737,2020-06-27
41862,2020-06-28
39642,2020-06-29
48312,2020-06-30
51567,2020-07-01
56348,2020-07-02
52620,2020-07-03
48946,2020-07-04
50438,2020-07-05
42801,2020-07-06
58857,2020-07-07
59723,2020-07-08
60875,2020-07-09
67778,2020-07-10
61371,2020-07-11
60684,2020-07-12
57560,2020-07-13
66439,2020-07-14
67966,2020-07-15
76039,2020-07-16
72251,2020-07-17
63797,2020-07-18
61465,2020-07-19
60212,2020-07-20
65582,2020-07-21
70387,2020-07-22
68257,2020-07-23
74149,2020-07-24
67053,2020-07-25
56156,2020-07-26
56170,2020-07-27
63694,2020-07-28
68375,2020-07-29
67966,2020-07-30
68468,2020-07-31
59132,2020-08-01
46006,2020-08-02
45284,2020-08-03
54974,2020-08-04
55883,2020-08-05
57231,2020-08-06
61063,2020-08-07
55176,2020-08-08
48137,2020-08-09
45237,2020-08-10
52600,2020-08-11
52802,2020-08-12
51529,2020-08-13
65073,2020-08-14
50456,2020-08-15
40104,2020-08-16
35662,2020-08-17
42929,2020-08-18
44263,2020-08-19
44589,2020-08-20
48789,2020-08-21
44404,2020-08-22
34566,2020-08-23
34881,2020-08-24
40927,2020-08-25
43956,2020-08-26
46008,2020-08-27
46535,2020-08-28
44257,2020-08-29
34940,2020-08-30
32614,2020-08-31
42943,2020-09-01
40642,2020-09-02
44913,2020-09-03
50689,2020-09-04
43509,2020-09-05
31050,2020-09-06
23898,2020-09-07
25689,2020-09-08
34539,2020-09-09
35898,2020-09-10
48020,2020-09-11
41688,2020-09-12
34533,2020-09-13
33167,2020-09-14
39543,2020-09-15
38874,2020-09-16
45251,2020-09-17
49222,2020-09-18
42739,2020-09-19
38917,2020-09-20
50594,2020-09-21
40161,2020-09-22
38852,2020-09-23
47475,2020-09-24
48808,2020-09-25
44930,2020-09-26
38154,2020-09-27
32449,2020-09-28
43514,2020-09-29
39079,2020-09-30
46096,2020-10-01
55130,2020-10-02
50659,2020-10-03
34632,2020-10-04
38241,2020-10-05
45221,2020-10-06
51217,2020-10-07
58915,2020-10-08
56750,2020-10-09
55740,2020-10-10
46832,2020-10-11
41732,2020-10-12
51091,2020-10-13
59302,2020-10-14
65114,2020-10-15
69122,2020-10-16
57692,2020-10-17
50990,2020-10-18
66739,2020-10-19
61697,2020-10-20
63321,2020-10-21
76225,2020-10-22
82478,2020-10-23
83728,2020-10-24
62667,2020-10-25
65976,2020-10-26
77161,2020-10-27
79268,2020-10-28
91219,2020-10-29
100091,2020-10-30
90736,2020-10-31
105645,2020-11-01
83333,2020-11-02
127834,2020-11-03
104175,2020-11-04
130016,2020-11-05
127812,2020-11-06
132124,2020-11-07
115355,2020-11-08
118046,2020-11-09
140271,2020-11-10
149488,2020-11-11
161766,2020-11-12
181126,2020-11-13
172284,2020-11-14
137913,2020-11-15
159178,2020-11-16
164163,2020-11-17
173413,2020-11-18
191899,2020-11-19
201436,2020-11-20
182034,2020-11-21
146647,2020-11-22
171946,2020-11-23
177235,2020-11-24
184893,2020-11-25
118386,2020-11-26
203021,2020-11-27
158756,2020-11-28
140840,2020-11-29
155690,2020-11-30
194035,2020-12-01
204501,2020-12-02
224156,2020-12-03
235313,2020-12-04
221907,2020-12-05
179217,2020-12-06
190149,2020-12-07
230948,2020-12-08
221135,2020-12-09
234673,2020-12-10
240256,2020-12-11
222163,2020-12-12
186763,2020-12-13
200627,2020-12-14
222204,2020-12-15
240685,2020-12-16
237223,2020-12-17
248954,2020-12-18
202570,2020-12-19
185344,2020-12-20
189716,2020-12-21
201967,2020-12-22
225778,2020-12-23
204883,2020-12-24
108685,2020-12-25
218991,2020-12-26
154995,2020-12-27
166691,2020-12-28
201693,2020-12-29
222936,2020-12-30
258109,2020-12-31
166257,2021-01-01
295875,2021-01-02
203648,2021-01-03
181645,2021-01-04
231578,2021-01-05
256866,2021-01-06
288608,2021-01-07
303459,2021-01-08
259530,2021-01-09
213373,2021-01-10
210834,2021-01-11
218900,2021-01-12
229840,2021-01-13
238040,2021-01-14
247026,2021-01-15
208632,2021-01-16
176592,2021-01-17
141080,2021-01-18
164285,2021-01-19
185390,2021-01-20
192326,2021-01-21
189527,2021-01-22
174863,2021-01-23
137834,2021-01-24
142117,2021-01-25
144780,2021-01-26
155135,2021-01-27
167435,2021-01-28
165847,2021-01-29
145683,2021-01-30
115429,2021-01-31
129367,2021-02-01
113872,2021-02-02
123111,2021-02-03
123925,2021-02-04
131659,2021-02-05
110953,2021-02-06
91883,2021-02-07
85030,2021-02-08
94613,2021-02-09
95832,2021-02-10
106303,2021-02-11
100029,2021-02-12
88854,2021-02-13
66349,2021-02-14
54643,2021-02-15
58604,2021-02-16
70068,2021-02-17
71356,2021-02-18
78185,2021-02-19
73407,2021-02-20
57896,2021-02-21
54837,2021-02-22
72013,2021-02-23
75011,2021-02-24
78057,2021-02-25
78734,2021-02-26
66065,2021-02-27
51867,2021-02-28
54488,2021-03-01
57066,2021-03-02
67149,2021-03-03
68532,2021-03-04
66865,2021-03-05
59295,2021-03-06
42066,2021-03-07
44313,2021-03-08
55806,2021-03-09
58233,2021-03-10
62896,2021-03-11
62073,2021-03-12
53658,2021-03-13
38852,2021-03-14
54767,2021-03-15
54381,2021-03-16
59488,2021-03-17
60525,2021-03-18
62065,2021-03-19
57021,2021-03-20
34978,2021-03-21
49480,2021-03-22
53298,2021-03-23
87120,2021-03-24
67976,2021-03-25
77536,2021-03-26
62223,2021-03-27
46354,2021-03-28
67297,2021-03-29
61437,2021-03-30
66971,2021-03-31
79186,2021-04-01
71849,2021-04-02
64246,2021-04-03
36649,2021-04-04
73153,2021-04-05
63731,2021-04-06
74986,2021-04-07
80252,2021-04-08
84337,2021-04-09
69294,2021-04-10
46443,2021-04-11
66957,2021-04-12
79144,2021-04-13
75316,2021-04-14
73910,2021-04-15
80377,2021-04-16
71145,2021-04-17
42882,2021-04-18
66174,2021-04-19
60920,2021-04-20
63824,2021-04-21
66990,2021-04-22
62379,2021-04-23
54193,2021-04-24
33974,2021-04-25
63670,2021-04-26
50733,2021-04-27
55093,2021-04-28
58913,2021-04-29
58159,2021-04-30
46660,2021-05-01
30062,2021-05-02
48771,2021-05-03
40799,2021-05-04
45704,2021-05-05
47007,2021-05-06
48106,2021-05-07
34961,2021-05-08
22100,2021-05-09
35152,2021-05-10
34061,2021-05-11
36193,2021-05-12
38571,2021-05-13
41863,2021-05-14
29610,2021-05-15
17441,2021-05-16
27771,2021-05-17
27797,2021-05-18
29508,2021-05-19
29844,2021-05-20
28552,2021-05-21
20574,2021-05-22
13472,2021-05-23
24444,2021-05-24
23090,2021-05-25
24533,2021-05-26
27149,2021-05-27
21923,2021-05-28
12618,2021-05-29
7176,2021-05-30
6111,2021-05-31
21496,2021-06-01
17195,2021-06-02
19104,2021-06-03
17134,2021-06-04
14605,2021-06-05
6609,2021-06-06
14829,2021-06-07
13081,2021-06-08
18989,2021-06-09
14364,2021-06-10
24834,2021-06-11
8764,2021-06-12
5264,2021-06-13
12154,2021-06-14
10900,2021-06-15
12583,2021-06-16
10623,2021-06-17
21365,2021-06-18
8681,2021-06-19
4585,2021-06-20
11336,2021-06-21
10865,2021-06-22
13158,2021-06-23
13662,2021-06-24
24335,2021-06-25
8872,2021-06-26
4846,2021-06-27
14307,2021-06-28
14737,2021-06-29
16323,2021-06-30
14377,2021-07-01
29379,2021-07-02
4899,2021-07-03
3900,2021-07-04
8909,2021-07-05
23074,2021-07-06
22633,2021-07-07
20922,2021-07-08
47529,2021-07-09
8782,2021-07-10
11355,2021-07-11
33051,2021-07-12
26391,2021-07-13
33169,2021-07-14
29908,2021-07-15
77479,2021-07-16
12394,2021-07-17
20195,2021-07-18
51392,2021-07-19
40569,2021-07-20
50584,2021-07-21
54665,2021-07-22
119395,2021-07-23
26111,2021-07-24
26138,2021-07-25
85089,2021-07-26
68739,2021-07-27
69439,2021-07-28
79290,2021-07-29
188071,2021-07-30
34220,2021-07-31
43840,2021-08-01
117751,2021-08-02
103201,2021-08-03
96672,2021-08-04
110923,2021-08-05
255297,2021-08-06
51473,2021-08-07
29324,2021-08-08
175903,2021-08-09
121210,2021-08-10
156258,2021-08-11
142197,2021-08-12
229847,2021-08-13
51829,2021-08-14
44355,2021-08-15
214770,2021-08-16
152821,2021-08-17
158628,2021-08-18
157239,2021-08-19
245686,2021-08-20
69918,2021-08-21
39009,2021-08-22
231409,2021-08-23
157127,2021-08-24
169433,2021-08-25
184447,2021-08-26
243579,2021-08-27
65317,2021-08-28
45551,2021-08-29
252008,2021-08-30
171278,2021-08-31
202253,2021-09-01
175083,2021-09-02
235593,2021-09-03
74105,2021-09-04
47335,2021-09-05
80599,2021-09-06
254798,2021-09-07
183031,2021-09-08
160119,2021-09-09
228209,2021-09-10
73627,2021-09-11
42905,2021-09-12
244526,2021-09-13
146190,2021-09-14
170585,2021-09-15
155514,2021-09-16
208874,2021-09-17
64282,2021-09-18
42201,2021-09-19
188409,2021-09-20
121659,2021-09-21
138549,2021-09-22
126474,2021-09-23
176908,2021-09-24
54374,2021-09-25
49630,2021-09-26
164666,2021-09-27
111379,2021-09-28
123419,2021-09-29
109956,2021-09-30
152877,2021-10-01
44987,2021-10-02
41778,2021-10-03
151269,2021-10-04
97379,2021-10-05
110591,2021-10-06
100546,2021-10-07
126477,2021-10-08
32838,2021-10-09
37641,2021-10-10
100649,2021-10-11
106369,2021-10-12
121576,2021-10-13
86378,2021-10-14
109796,2021-10-15
36361,2021-10-16
31932,2021-10-17
102202,2021-10-18
80948,2021-10-19
91456,2021-10-20
78899,2021-10-21
95152,2021-10-22
30141,2021-10-23
18225,2021-10-24
114302,2021-10-25
68711,2021-10-26
100901,2021-10-27
77552,2021-10-28
93585,2021-10-29
32572,2021-10-30
31700,2021-10-31
113983,2021-11-01
71117,2021-11-02
84577,2021-11-03
81830,2021-11-04
96087,2021-11-05
34062,2021-11-06
35896,2021-11-07
110605,2021-11-08
80323,2021-11-09
95021,2021-11-10
57164,2021-11-11
144899,2021-11-12
42556,2021-11-13
31093,2021-11-14
136849,2021-11-15
87845,2021-11-16
111732,2021-11-17
110350,2021-11-18
125867,2021-11-19
43702,2021-11-20
38931,2021-11-21
147706,2021-11-22
92722,2021-11-23
111648,2021-11-24
34849,2021-11-25
52090,2021-11-26
25493,2021-11-27
42148,2021-11-28
192793,2021-11-29
117485,2021-11-30
138611,2021-12-01
138440,2021-12-02
153659,2021-12-03
63622,2021-12-04
49801,2021-12-05
179786,2021-12-06
113304,2021-12-07
150872,2021-12-08
122214,2021-12-09
170738,2021-12-10
54763,2021-12-11
50568,2021-12-12
187285,2021-12-13
116071,2021-12-14
148521,2021-12-15
141707,2021-12-16
192903,2021-12-17
76429,2021-12-18
86859,2021-12-19
242086,2021-12-20
178982,2021-12-21
241681,2021-12-22
269233,2021-12-23
219462,2021-12-24
57054,2021-12-25
182566,2021-12-26
544329,2021-12-27
354683,2021-12-28
497002,2021-12-29
590547,2021-12-30
472515,2021-12-31
116442,2022-01-01
248174,2022-01-02
1171378,2022-01-03
799189,2022-01-04
623308,2022-01-05
786824,2022-01-06
900832,2022-01-07
